Feature,Importance
TORQUE|1,0.9924910393250267
CTRL_DIFF|6,0.031403561449833584
VEL_FFW|3,0.12278043567930823
DES_POS|2,0.008436716950694761
LOAD|1,0.03918376369952311
CTRL_DIFF2|3,0.008875899191102724
CMD_SPEED|1,0.016599465716609828
ENC1_POS|6,0.008493053807563588
LOAD|3,0.008416659183406899
TORQUE|3,0.008538659444707749
CONT_DEV|6,0.024238780176767793
VEL_FFW|2,0.01665521026336034
ENC_POS|6,0.008709052019118087
TORQUE|6,0.008663836536300077
CONT_DEV|3,0.008372233742812906
CTRL_DIFF2|1,0.017510370269538878
LOAD|2,0.0086937659207068
CTRL_DIFF|3,0.008398612714646292
TORQUE|2,0.008802745767527206
CMD_SPEED|6,0.00838072444721379
ENC1_POS|2,0.008395473646187892
CONT_DEV|1,0.008388174096209521
CTRL_DIFF2|2,0.00853024878806885
CMD_SPEED|3,0.008308963058488692
CTRL_POS|3,0.007047844105295824
ENC_POS|3,0.00864737580089227
DES_POS|6,0.008272680818246458
ENC_POS|1,0.008454153367831408
VEL_FFW|1,0.013906268776638354
CONT_DEV|2,0.008382818177266835
ENC_POS|2,0.008493020857936769
CMD_SPEED|2,0.008726368299440448
CTRL_DIFF|1,0.00902604508635033
LOAD|6,0.008409459153025203
CTRL_POS|2,0.008402439170297505
CTRL_POS|1,0.008476648956436942
CTRL_DIFF|2,0.008593471397780675
ENC1_POS|1,0.00834825391679028
VEL_FFW|6,0.008526793723090016
CTRL_DIFF2|6,0.008617311114905612
CTRL_POS|6,0.008372764372461775
ENC1_POS|3,0.008541133047200411
DES_POS|1,0.008402242225341373
DES_POS|3,0.007037768259674531
