Feature,Importance
TORQUE|1,0.7831843523616975
VEL_FFW|3,0.11445934719667356
VEL_FFW|2,0.02152643022902153
ENC_POS|3,0.004285071078887789
TORQUE|2,0.05794919720687529
CTRL_DIFF2|3,0.004254735641740315
LOAD|1,0.011507705106938342
CTRL_POS|1,0.0042444264734909165
CTRL_DIFF|3,0.004302449805266228
CTRL_DIFF2|2,0.004171138807479398
CTRL_DIFF|6,0.024246496445450023
CONT_DEV|6,0.024313795997853226
LOAD|6,0.01638930042127016
CTRL_DIFF2|1,0.004240787965464017
CTRL_DIFF|1,0.004223273493173114
CMD_SPEED|1,0.004941446298265952
ENC_POS|6,0.00426253178400233
DES_POS|3,0.004196627599965404
ENC_POS|1,0.004222198956868582
TORQUE|3,0.005552453090015879
TORQUE|6,0.027419738786473514
ENC_POS|2,0.004233891721232185
CTRL_DIFF2|6,0.01098610848279233
ENC1_POS|3,0.011705508267500959
CONT_DEV|1,0.004282766327052863
DES_POS|6,0.00424071117840948
CTRL_POS|6,0.004299171090789696
LOAD|3,0.004265472789452116
ENC1_POS|1,0.004222885164924727
VEL_FFW|6,0.004298446290420311
ENC1_POS|2,0.004260486442526641
CMD_SPEED|2,0.004306794208268556
VEL_FFW|1,0.0047948302551881535
DES_POS|2,0.004200247860216869
CMD_SPEED|6,0.004287419222776409
CONT_DEV|2,0.004257755955984703
CTRL_POS|2,0.0042383397125535065
LOAD|2,0.004999337167819382
DES_POS|1,0.004228337392091769
CTRL_POS|3,0.004267162263892057
CMD_SPEED|3,0.004518396325962997
CONT_DEV|3,0.004248872958237711
CTRL_DIFF|2,0.0042221319215654625
ENC1_POS|6,0.004206863504771018
